,label
661, negative
662, negative
663, negative
664, negative
665,
666, positive
667, positive
668, negative
669, positive
670, positive
671, negative
672, negative
673, negative
674, negative
675, negative
676, positive
677, negative
678, negative
679, positive
680, positive
681, negative
682, negative
683, negative
684, positive
685, positive
686, positive
687, positive
688, positive
689, positive
690, negative
691, negative
692, negative
693, positive
694, negative
695, negative
696, positive
697, positive
698, negative
699, positive
700, positive
701, positive
702, positive
703, negative
704, positive
705, positive
706, positive
707, negative
708, negative
709, negative
710, negative
711, negative
712, negative
713, negative
714,""
715, positive
716, negative
717, positive
718, negative
719, negative
720, positive
721, positive
722, positive
723, negative
724, negative
725, positive
726, positive
727, negative
728, negative
729, negative
730, negative
731, negative
732, positive
733, negative
734, negative
735, positive
736, positive
737, positive
738,
739, positive
740, positive
741, positive
742, negative
743, negative
744, positive
745, negative
746, positive
747, negative
748, negative
749, negative
750, negative
751, positive
752, negative
753, negative
754, positive
755, negative
756, positive
757, negative
758, negative
759, positive
760, positive
761, positive
762, positive
763, positive
764, positive
765, positive
766,""
767, positive
768, negative
769,
770, negative
771, positive
772, negative
773, positive
774, negative
775, positive
776, positive
777, positive
778, positive
779, negative
780, negative
781, positive
782, positive
783, negative
784, positive
785, negative
786, negative
787, positive
788, positive
789, negative
790, positive
791, negative
792, positive
793, negative
794, positive
795, positive
796, positive
797, positive
798, negative
799, positive
800, negative
801, positive
802, positive
803, negative
804, positive
805, negative
806, positive
807, negative
808, positive
809, positive
810, negative
811, negative
812, positive
813, negative
814, negative
815, negative
816, positive
817, negative
818, positive
819, positive
820, negative
821, negative
822, positive
823, negative
824, positive
825, negative
826, positive
827, negative
828, positive
829, positive
830, negative
831, negative
832, positive
833, positive
834, positive
835, negative
836,""
837, positive
838, positive
839, negative
840, negative
841, positive
842, positive
843, positive
844, negative
845, negative
846, negative
847, negative
848, positive
849, negative
850, positive
851, negative
852, positive
853, negative
854, positive
855, positive
856, positive
857, positive
858, negative
859, positive
860, positive
861, negative
862, positive
863, positive
864, positive
865, negative
866, negative
867, negative
868, negative
869, negative
870, positive
871, positive
872, negative
873, positive
874, positive
875, negative
876, positive
877, negative
878, positive
879, positive
880, positive
881, positive
882, negative
883, negative
884,pos
885, positive
886, negative
887, negative
888, positive
889, negative
890, positive
891, negative
892, positive
893, positive
894, negative
895, negative
896, negative
897, negative
898, positive
899, positive
900, positive
901, negative
902, positive
903, positive
904, positive
905, positive
906, negative
907, positive
908, positive
909, negative
910, negative
911, negative
912, negative
913, negative
914, positive
915, negative
916, negative
917, negative
918, positive
919, positive
920,""
921, negative
922, negative
923, positive
924, positive
925, positive
926, positive
927, positive
928, positive
929, positive
930, positive
931, negative
932, negative
933, positive
934, negative
935, positive
936, positive
937, negative
938, positive
939, negative
940,""
941, negative
942, negative
943, positive
944, negative
945, negative
946, positive
947, positive
948, positive
949, positive
950, negative
951, positive
952, positive
953, negative
954, positive
955, negative
956, positive
957, negative
958, positive
959, negative
960, positive
961, positive
962, negative
963, negative
964, negative
965,""
966, negative
967, positive
968, negative
969, negative
970, positive
971, positive
972, positive
973, positive
974, positive
975, positive
976, positive
977, positive
978, negative
979, positive
980, positive
981, positive
982, negative
983, negative
984, negative
985, positive
986, negative
987, negative
988, positive
989, positive
990, positive
991, negative
992, negative
993, negative
994, positive
995, positive
996, positive
997, negative
998, negative
999, negative
1000, positive
1001, positive
1002, positive
1003, negative
1004, positive
1005,""
1006, positive
1007, negative
1008, positive
1009,
1010, negative
1011, positive
1012, positive
1013, negative
1014, negative
